symbol,Date,value
ERIC,2022-05-14,71
ERIC,2022-05-15,70
ERIC,2022-05-16,69
ERIC,2022-05-17,76
ERIC,2022-05-18,100
ERIC,2022-05-19,73
ERIC,2022-05-20,68
ERIC,2022-05-21,77
ERIC,2022-05-22,68
ERIC,2022-05-23,72
ERIC,2022-05-24,71
ERIC,2022-05-25,65
ERIC,2022-05-26,67
ERIC,2022-05-27,70
ERIC,2022-05-28,66
ERIC,2022-05-29,63
ERIC,2022-05-30,66
ERIC,2022-05-31,64
RBLX,2022-04-01,84
RBLX,2022-04-02,59
RBLX,2022-04-03,51
RBLX,2022-04-04,83
RBLX,2022-04-05,75
RBLX,2022-04-06,65
RBLX,2022-04-07,70
RBLX,2022-04-08,69
RBLX,2022-04-09,60
RBLX,2022-04-10,41
RBLX,2022-04-11,66
RBLX,2022-04-12,69
RBLX,2022-04-13,60
RBLX,2022-04-14,77
RBLX,2022-04-15,65
RBLX,2022-04-16,52
RBLX,2022-04-17,48
RBLX,2022-04-18,92
RBLX,2022-04-19,76
RBLX,2022-04-20,100
RBLX,2022-04-21,99
RBLX,2022-04-22,95
RBLX,2022-04-23,71
RBLX,2022-04-24,74
RBLX,2022-04-25,79
RBLX,2022-04-26,95
RBLX,2022-04-27,75
RBLX,2022-04-28,95
RBLX,2022-04-29,79
RBLX,2022-04-30,68
AMZN,2022-07-01,29
AMZN,2022-07-02,10
AMZN,2022-07-03,6
AMZN,2022-07-04,7
AMZN,2022-07-05,32
AMZN,2022-07-06,32
AMZN,2022-07-07,31
AMZN,2022-07-08,30
AMZN,2022-07-09,10
AMZN,2022-07-10,6
AMZN,2022-07-11,28
AMZN,2022-07-12,30
AMZN,2022-07-13,29
AMZN,2022-07-14,29
AMZN,2022-07-15,30
AMZN,2022-07-16,9
AMZN,2022-07-17,7
AMZN,2022-07-18,27
AMZN,2022-07-19,28
AMZN,2022-07-20,35
AMZN,2022-07-21,38
AMZN,2022-07-22,35
AMZN,2022-07-23,9
AMZN,2022-07-24,7
AMZN,2022-07-25,34
AMZN,2022-07-26,42
AMZN,2022-07-27,43
AMZN,2022-07-28,87
AMZN,2022-07-29,100
AMZN,2022-07-30,17
AMZN,2022-07-31,12
STRO,2023-01-01,89
STRO,2023-01-02,62
STRO,2023-01-03,65
STRO,2023-01-04,88
STRO,2023-01-05,51
STRO,2023-01-06,78
STRO,2023-01-07,56
STRO,2023-01-08,67
STRO,2023-01-09,80
STRO,2023-01-10,72
STRO,2023-01-11,80
STRO,2023-01-12,100
STRO,2023-01-13,67
STRO,2023-01-14,57
STRO,2023-01-15,99
STRO,2023-01-16,90
STRO,2023-01-17,77
STRO,2023-01-18,71
STRO,2023-01-19,63
STRO,2023-01-20,64
STRO,2023-01-21,64
STRO,2023-01-22,77
STRO,2023-01-23,65
STRO,2023-01-24,58
STRO,2023-01-25,86
STRO,2023-01-26,54
STRO,2023-01-27,83
STRO,2023-01-28,89
STRO,2023-01-29,56
STRO,2023-01-30,40
STRO,2023-01-31,63
BAC,2022-06-01,41
BAC,2022-06-02,41
BAC,2022-06-03,40
BAC,2022-06-04,39
BAC,2022-06-05,38
BAC,2022-06-06,44
BAC,2022-06-07,46
BAC,2022-06-08,44
BAC,2022-06-09,44
BAC,2022-06-10,49
BAC,2022-06-11,43
BAC,2022-06-12,51
BAC,2022-06-13,61
BAC,2022-06-14,74
BAC,2022-06-15,100
BAC,2022-06-16,92
BAC,2022-06-17,59
